"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)"
"De Kemp";"Roermond                                ";"Buurt     ";"BU09570201";"1";"      6045";1
"Roerstreek";"Roermond                                ";"Buurt     ";"BU09570202";"1";"      6045";1
"Kitskensdal";"Roermond                                ";"Buurt     ";"BU09570203";"1";"      6045";1
"Kitskensberg";"Roermond                                ";"Buurt     ";"BU09570204";"1";"      6045";1
"Wijk 03 Maasniel";"Roermond                                ";"Wijk      ";"WK095703  ";"1";"         .";
"Kern Maasniel";"Roermond                                ";"Buurt     ";"BU09570300";"1";"      6042";1
"Leeuwen";"Roermond                                ";"Buurt     ";"BU09570301";"1";"      6041";1
"Tegelarijeveld-Broekhin";"Roermond                                ";"Buurt     ";"BU09570302";"1";"      6042";1
"De Wijher en omgeving";"Roermond                                ";"Buurt     ";"BU09570303";"1";"      6042";1
"Stasrandzone-Noord";"Roermond                                ";"Buurt     ";"BU09570304";"1";"      6042";1
"Wijk 04 Donderberg en Roosendael";"Roermond                                ";"Wijk      ";"WK095704  ";"1";"         .";
"Componistenbuurt";"Roermond                                ";"Buurt     ";"BU09570400";"1";"      6044";1
"Vliegeniersbuurt";"Roermond                                ";"Buurt     ";"BU09570401";"1";"      6044";1
"Kastelenbuurt";"Roermond                                ";"Buurt     ";"BU09570402";"1";"      6043";1
"Wijk 05 Donderberg en Hoogvonderen";"Roermond                                ";"Wijk      ";"WK095705  ";"1";"         .";
"Sterrenberg";"Roermond                                ";"Buurt     ";"BU09570500";"1";"      6043";1
"Hoogvonderen";"Roermond                                ";"Buurt     ";"BU09570501";"1";"      6043";1
"Wijk 06 Asenray";"Roermond                                ";"Wijk      ";"WK095706  ";"1";"         .";
"Asenray buitengebied";"Roermond                                ";"Buurt     ";"BU09570600";"1";"      6042";3
"Asenray";"Roermond                                ";"Buurt     ";"BU09570601";"1";"      6042";1
"Wijk 07 Herten";"Roermond                                ";"Wijk      ";"WK095707  ";"1";"         .";
"Ool";"Roermond                                ";"Buurt     ";"BU09570700";"1";"      6049";1
"Herten";"Roermond                                ";"Buurt     ";"BU09570701";"1";"      6049";1
"Merum";"Roermond                                ";"Buurt     ";"BU09570702";"1";"      6049";1
"Oolderplas";"Roermond                                ";"Buurt     ";"BU09570703";"1";"      6049";1
"Wijk 08 Swalmen";"Roermond                                ";"Wijk      ";"WK095708  ";"1";"         .";
"Swalmen-Centrum";"Roermond                                ";"Buurt     ";"BU09570800";"1";"      6071";1
"Groenekruisgebied";"Roermond                                ";"Buurt     ";"BU09570801";"1";"      6071";1
"Heide";"Roermond                                ";"Buurt     ";"BU09570802";"1";"      6071";1
"Asselt";"Roermond                                ";"Buurt     ";"BU09570804";"1";"      6071";1
"Martin Giessen-Bosstraat";"Roermond                                ";"Buurt     ";"BU09570805";"1";"      6071";1
"Boukoul";"Roermond                                ";"Buurt     ";"BU09570806";"1";"      6071";1
"Verspreide huizen Swalmen";"Roermond                                ";"Buurt     ";"BU09570809";"1";"      6071";1
"Wijk 09 Maasplassen";"Roermond                                ";"Wijk      ";"WK095709  ";"1";"         .";
"Maasplassen";"Roermond                                ";"Buurt     ";"BU09570900";"1";"      6041";1
"De Ronde Venen";"De Ronde Venen                          ";"Gemeente  ";"GM0736    ";".";"         .";
"Mijdrecht";"De Ronde Venen                          ";"Wijk      ";"WK073601  ";"3";"         .";
"Mijdrecht Dorp";"De Ronde Venen                          ";"Buurt     ";"BU07360101";"3";"      3641";1
"Hofland";"De Ronde Venen                          ";"Buurt     ";"BU07360102";"3";"      3641";4
"Molenland";"De Ronde Venen                          ";"Buurt     ";"BU07360103";"3";"      3642";1
"Proostdijland";"De Ronde Venen                          ";"Buurt     ";"BU07360104";"3";"      3641";1
"Twistvlied-Wickelhof";"De Ronde Venen                          ";"Buurt     ";"BU07360105";"3";"      3641";1
"Sportpark Mijdrecht";"De Ronde Venen                          ";"Buurt     ";"BU07360106";"3";"      3641";3
"Bedrijventerrein Mijdrecht";"De Ronde Venen                          ";"Buurt     ";"BU07360107";"3";"      3641";1
"Mijdrecht Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360108";"3";"      3641";1
"de Hoef";"De Ronde Venen                          ";"Wijk      ";"WK073602  ";"3";"         .";
"de Hoef";"De Ronde Venen                          ";"Buurt     ";"BU07360201";"3";"      1426";1
"de Hoef Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360202";"3";"      1426";1
"Amstelhoek";"De Ronde Venen                          ";"Wijk      ";"WK073603  ";"3";"         .";
"Amstelhoek";"De Ronde Venen                          ";"Buurt     ";"BU07360301";"3";"      1427";1
"Vinkeveen";"De Ronde Venen                          ";"Wijk      ";"WK073604  ";"3";"         .";
"Vinkeveen Dorp";"De Ronde Venen                          ";"Buurt     ";"BU07360401";"3";"      3645";1
"Zuiderwaard-Westerheul";"De Ronde Venen                          ";"Buurt     ";"BU07360402";"3";"      3645";1
"Vinkeveen Plassengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360403";"3";"      3645";1
"Vinkeveen Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360404";"3";"      3645";1
"Waverveen";"De Ronde Venen                          ";"Wijk      ";"WK073605  ";"3";"         .";
"Waverveen";"De Ronde Venen                          ";"Buurt     ";"BU07360501";"3";"      3646";1
"Waverveen Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360502";"3";"      3646";1
"Wilnis";"De Ronde Venen                          ";"Wijk      ";"WK073606  ";"3";"         .";
"Wilnis Dorp";"De Ronde Venen                          ";"Buurt     ";"BU07360601";"3";"      3648";1
"de Maricken-Veenzijde";"De Ronde Venen                          ";"Buurt     ";"BU07360602";"3";"      3648";1
"Wilnis Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360603";"3";"      3648";1
"Abcoude";"De Ronde Venen                          ";"Wijk      ";"WK073607  ";"3";"         .";
"Abcoude-Noordoost";"De Ronde Venen                          ";"Buurt     ";"BU07360701";"3";"      1391";1
"Abcoude-Zuidwest";"De Ronde Venen                          ";"Buurt     ";"BU07360702";"3";"      1391";1
"Abcoude Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360703";"3";"      1391";1
"Baambrugge";"De Ronde Venen                          ";"Wijk      ";"WK073608  ";"3";"         .";
"Baambrugge Dorp";"De Ronde Venen                          ";"Buurt     ";"BU07360801";"3";"      1396";1
"Baambrugge Buitengebied";"De Ronde Venen                          ";"Buurt     ";"BU07360802";"3";"      1396";1
"Roosendaal";"Roosendaal                              ";"Gemeente  ";"GM1674    ";".";"         .";
"Wijk 00 Centrum";"Roosendaal                              ";"Wijk      ";"WK167400  ";"1";"         .";
"Centrum-Oud";"Roosendaal                              ";"Buurt     ";"BU16740000";"1";"      4701";1
"Centrum-Nieuw";"Roosendaal                              ";"Buurt     ";"BU16740001";"1";"      4701";1
"Stationsbuurt";"Roosendaal                              ";"Buurt     ";"BU16740002";"1";"      4701";1
"Vrouwenhof";"Roosendaal                              ";"Buurt     ";"BU16740003";"1";"      4701";1
"Wijk 01 Oost";"Roosendaal                              ";"Wijk      ";"WK167401  ";"1";"         .";
"Sint Josephbuurt";"Roosendaal                              ";"Buurt     ";"BU16740100";"1";"      4702";1
"Fatima-villapark";"Roosendaal                              ";"Buurt     ";"BU16740101";"1";"      4702";1
"Keijenburg";"Roosendaal                              ";"Buurt     ";"BU16740102";"1";"      4702";1
"Wijk 02 Noord";"Roosendaal                              ";"Wijk      ";"WK167402  ";"1";"         .";
"Parklaan-Hoogstraat";"Roosendaal                              ";"Buurt     ";"BU16740200";"1";"      4702";1
"Spoorstraat-Van Coothlaan";"Roosendaal                              ";"Buurt     ";"BU16740201";"1";"      4702";1
"Kalsdonk";"Roosendaal                              ";"Buurt     ";"BU16740202";"1";"      4702";1
"Nieuwenberg";"Roosendaal                              ";"Buurt     ";"BU16740209";"1";"      4705";1
"Wijk 03 West";"Roosendaal                              ";"Wijk      ";"WK167403  ";"1";"         .";
"Heerma van Vossstraat-Molenbeek";"Roosendaal                              ";"Buurt     ";"BU16740300";"1";"      4703";1
"Herreweg";"Roosendaal                              ";"Buurt     ";"BU16740301";"1";"      4703";1
"Ettingen";"Roosendaal                              ";"Buurt     ";"BU16740302";"1";"      4703";1
"Scherpdeel";"Roosendaal                              ";"Buurt     ";"BU16740303";"1";"      4703";1
"Vroenhout";"Roosendaal                              ";"Buurt     ";"BU16740309";"1";"      4703";1
"Wijk 04 Groot Kroeven";"Roosendaal                              ";"Wijk      ";"WK167404  ";"1";"         .";
"Kroeven-Noordwest";"Roosendaal                              ";"Buurt     ";"BU16740400";"1";"      4707";1
"Kroeven-Noordoost";"Roosendaal                              ";"Buurt     ";"BU16740401";"1";"      4707";1
"Kroeven-Zuidwest";"Roosendaal                              ";"Buurt     ";"BU16740402";"1";"      4707";1
"Kroeven-Zuidoost";"Roosendaal                              ";"Buurt     ";"BU16740403";"1";"      4707";1
"Minnebeek-Watermolen";"Roosendaal                              ";"Buurt     ";"BU16740404";"1";"      4707";1
"De Krogten";"Roosendaal                              ";"Buurt     ";"BU16740405";"1";"      4707";1
"Borteldonk";"Roosendaal                              ";"Buurt     ";"BU16740409";"1";"      4707";1
"Wijk 05 Langdonk";"Roosendaal                              ";"Wijk      ";"WK167405  ";"1";"         .";
"Bovendonk";"Roosendaal                              ";"Buurt     ";"BU16740500";"1";"      4707";1
"Langdonk-West";"Roosendaal                              ";"Buurt     ";"BU16740501";"1";"      4707";1
"Langdonk-Oost";"Roosendaal                              ";"Buurt     ";"BU16740502";"1";"      4707";1
"Vierhoeven";"Roosendaal                              ";"Buurt     ";"BU16740509";"1";"      4707";1
"Wijk 06 Kortendijk";"Roosendaal                              ";"Wijk      ";"WK167406  ";"1";"         .";
"Kortendijk A";"Roosendaal                              ";"Buurt     ";"BU16740600";"1";"      4706";1
"Kortendijk C";"Roosendaal                              ";"Buurt     ";"BU16740601";"1";"      4706";1
"Kortendijk L";"Roosendaal                              ";"Buurt     ";"BU16740602";"1";"      4706";1
"Landerije";"Roosendaal                              ";"Buurt     ";"BU16740603";"1";"      4706";1
"Bakkersberg-Langendijk";"Roosendaal                              ";"Buurt     ";"BU16740609";"1";"      4706";1
"Wijk 07 Tolberg";"Roosendaal                              ";"Wijk      ";"WK167407  ";"1";"         .";
"Hulsdonk";"Roosendaal                              ";"Buurt     ";"BU16740700";"1";"      4708";1
"Tolberg-Oost";"Roosendaal                              ";"Buurt     ";"BU16740701";"1";"      4708";1
"Tolberg-Centrum";"Roosendaal                              ";"Buurt     ";"BU16740702";"1";"      4708";1
"Tolberg-West";"Roosendaal                              ";"Buurt     ";"BU16740703";"1";"      4708";1
"Weihoek-Oost";"Roosendaal                              ";"Buurt     ";"BU16740705";"1";"      4708";1
"Weihoek-West";"Roosendaal                              ";"Buurt     ";"BU16740706";"1";"      4708";1
"Haiink";"Roosendaal                              ";"Buurt     ";"BU16740709";"1";"      4708";1
"Wijk 08 Industriegebieden";"Roosendaal                              ";"Wijk      ";"WK167408  ";"1";"         .";
"Borchwerf-Noord";"Roosendaal                              ";"Buurt     ";"BU16740800";"1";"      4704";1
"Borchwerf-Zuid";"Roosendaal                              ";"Buurt     ";"BU16740801";"1";"      4703";1
"Majoppeveld-Noord";"Roosendaal                              ";"Buurt     ";"BU16740802";"1";"      4705";1
"Majoppeveld-Zuid";"Roosendaal                              ";"Buurt     ";"BU16740803";"1";"      4706";1
"Vijfhuizenberg";"Roosendaal                              ";"Buurt     ";"BU16740804";"1";"      4708";1
"Wijk 10 Nispen";"Roosendaal                              ";"Wijk      ";"WK167410  ";"1";"         .";
"Nispen";"Roosendaal                              ";"Buurt     ";"BU16741000";"1";"      4709";1
"Verspreide huizen Nispen";"Roosendaal                              ";"Buurt     ";"BU16741009";"1";"      4709";1
"Wijk 11 Wouw";"Roosendaal                              ";"Wijk      ";"WK167411  ";"1";"         .";
"Wouw";"Roosendaal                              ";"Buurt     ";"BU16741100";"1";"      4724";1
"Verspreide huizen Wouw in het Noorden";"Roosendaal                              ";"Buurt     ";"BU16741108";"1";"      4724";1
"Verspreide huizen Wouw in het Zuiden";"Roosendaal                              ";"Buurt     ";"BU16741109";"1";"      4724";1
"Wijk 12 Heerle";"Roosendaal                              ";"Wijk      ";"WK167412  ";"1";"         .";
"Heerle";"Roosendaal                              ";"Buurt     ";"BU16741200";"1";"      4726";1
"Verspreide huizen Heerle";"Roosendaal                              ";"Buurt     ";"BU16741209";"1";"      4726";1
"Wijk 13 Moerstraten";"Roosendaal                              ";"Wijk      ";"WK167413  ";"1";"         .";
"Moerstraten";"Roosendaal                              ";"Buurt     ";"BU16741300";"1";"      4727";1
"Verspreide huizen Moerstraten";"Roosendaal                              ";"Buurt     ";"BU16741309";"1";"      4727";1
"Wijk 14 Wouwse Plantage";"Roosendaal                              ";"Wijk      ";"WK167414  ";"1";"         .";
"Wouwse Plantage";"Roosendaal                              ";"Buurt     ";"BU16741400";"1";"      4725";1
"Verspreide huizen Wouwse Plantage";"Roosendaal                              ";"Buurt     ";"BU16741409";"1";"      4725";1
"Rotterdam";"Rotterdam                               ";"Gemeente  ";"GM0599    ";".";"         .";
"Rotterdam Centrum";"Rotterdam                               ";"Wijk      ";"WK059901  ";"1";"         .";
"Stadsdriehoek";"Rotterdam                               ";"Buurt     ";"BU05990110";"1";"      3011";1
"Oude Westen";"Rotterdam                               ";"Buurt     ";"BU05990111";"1";"      3014";2
"Cool";"Rotterdam                               ";"Buurt     ";"BU05990112";"1";"      3012";1
"Cs Kwartier";"Rotterdam                               ";"Buurt     ";"BU05990113";"1";"      3013";1
"Nieuwe Werk";"Rotterdam                               ";"Buurt     ";"BU05990118";"1";"      3016";1
"Dijkzigt";"Rotterdam                               ";"Buurt     ";"BU05990119";"1";"      3015";1
"Delfshaven";"Rotterdam                               ";"Wijk      ";"WK059903  ";"1";"         .";
"Delfshaven";"Rotterdam                               ";"Buurt     ";"BU05990320";"1";"      3024";1
"Bospolder";"Rotterdam                               ";"Buurt     ";"BU05990321";"1";"      3025";1
"Tussendijken";"Rotterdam                               ";"Buurt     ";"BU05990322";"1";"      3026";1
"Spangen";"Rotterdam                               ";"Buurt     ";"BU05990323";"1";"      3027";1
"Nieuwe Westen";"Rotterdam                               ";"Buurt     ";"BU05990324";"1";"      3022";5
"Middelland";"Rotterdam                               ";"Buurt     ";"BU05990325";"1";"      3021";1
"Oud Mathenesse";"Rotterdam                               ";"Buurt     ";"BU05990327";"1";"      3028";1
"Witte Dorp";"Rotterdam                               ";"Buurt     ";"BU05990328";"1";"      3028";1
"Schiemond";"Rotterdam                               ";"Buurt     ";"BU05990329";"1";"      3029";5
"Overschie";"Rotterdam                               ";"Wijk      ";"WK059904  ";"1";"         .";
"Kleinpolder";"Rotterdam                               ";"Buurt     ";"BU05990451";"1";"      3042";1
"Noord Kethel";"Rotterdam                               ";"Buurt     ";"BU05990452";"1";"      3047";3
"Schieveen";"Rotterdam                               ";"Buurt     ";"BU05990454";"1";"      3046";1
"Zestienhoven";"Rotterdam                               ";"Buurt     ";"BU05990455";"1";"      3045";1
"Overschie";"Rotterdam                               ";"Buurt     ";"BU05990456";"1";"      3043";1
"Landzicht";"Rotterdam                               ";"Buurt     ";"BU05990457";"1";"      3043";1
"Noord";"Rotterdam                               ";"Wijk      ";"WK059905  ";"1";"         .";
"Agniesebuurt";"Rotterdam                               ";"Buurt     ";"BU05990515";"1";"      3032";1
"Provenierswijk";"Rotterdam                               ";"Buurt     ";"BU05990516";"1";"      3033";1
"Bergpolder";"Rotterdam                               ";"Buurt     ";"BU05990531";"1";"      3038";1
"Blijdorp";"Rotterdam                               ";"Buurt     ";"BU05990532";"1";"      3039";1
"Liskwartier";"Rotterdam                               ";"Buurt     ";"BU05990534";"1";"      3037";1
"Oude Noorden";"Rotterdam                               ";"Buurt     ";"BU05990535";"1";"      3036";6
"Blijdorpsepolder";"Rotterdam                               ";"Buurt     ";"BU05990558";"1";"      3041";1
"Hillegersberg-Schiebroek";"Rotterdam                               ";"Wijk      ";"WK059906  ";"1";"         .";
"Schiebroek";"Rotterdam                               ";"Buurt     ";"BU05990660";"1";"      3053";4
"Hillegersberg Zuid";"Rotterdam                               ";"Buurt     ";"BU05990661";"1";"      3051";1
"Hillegersberg Noord";"Rotterdam                               ";"Buurt     ";"BU05990662";"1";"      3054";1
"Terbregge";"Rotterdam                               ";"Buurt     ";"BU05990664";"1";"      3056";1
"Molenlaankwartier";"Rotterdam                               ";"Buurt     ";"BU05990665";"1";"      3055";1
"Kralingen-Crooswijk";"Rotterdam                               ";"Wijk      ";"WK059908  ";"1";"         .";
"Rubroek";"Rotterdam                               ";"Buurt     ";"BU05990814";"1";"      3031";1
"Nieuw Crooswijk";"Rotterdam                               ";"Buurt     ";"BU05990836";"1";"      3034";1
"Oud Crooswijk";"Rotterdam                               ";"Buurt     ";"BU05990837";"1";"      3034";1
"Kralingen West";"Rotterdam                               ";"Buurt     ";"BU05990841";"1";"      3061";1
"Kralingen Oost";"Rotterdam                               ";"Buurt     ";"BU05990842";"1";"      3062";1
"Kralingse Bos";"Rotterdam                               ";"Buurt     ";"BU05990843";"1";"      3062";1
"De Esch";"Rotterdam                               ";"Buurt     ";"BU05990845";"1";"      3063";1
"Struisenburg";"Rotterdam                               ";"Buurt     ";"BU05990847";"1";"      3063";1
"Feijenoord";"Rotterdam                               ";"Wijk      ";"WK059910  ";"1";"         .";
"Kop van Zuid";"Rotterdam                               ";"Buurt     ";"BU05991017";"1";"      3072";2
"Kop van Zuid - Entrepot";"Rotterdam                               ";"Buurt     ";"BU05991079";"3";"      3071";1
"Vreewijk";"Rotterdam                               ";"Buurt     ";"BU05991080";"1";"      3075";1
"Bloemhof";"Rotterdam                               ";"Buurt     ";"BU05991081";"1";"      3073";1
"Hillesluis";"Rotterdam                               ";"Buurt     ";"BU05991082";"3";"      3074";1
"Katendrecht";"Rotterdam                               ";"Buurt     ";"BU05991085";"1";"      3072";1
"Afrikaanderwijk";"Rotterdam                               ";"Buurt     ";"BU05991086";"1";"      3072";1
"Feijenoord";"Rotterdam                               ";"Buurt     ";"BU05991087";"1";"      3071";1
"Noordereiland";"Rotterdam                               ";"Buurt     ";"BU05991088";"1";"      3071";1
"IJsselmonde";"Rotterdam                               ";"Wijk      ";"WK059912  ";"1";"         .";
"Oud IJsselmonde";"Rotterdam                               ";"Buurt     ";"BU05991283";"1";"      3077";1
"Lombardijen";"Rotterdam                               ";"Buurt     ";"BU05991284";"1";"      3076";1
"Groot IJsselmonde";"Rotterdam                               ";"Buurt     ";"BU05991289";"1";"      3079";5
"Beverwaard";"Rotterdam                               ";"Buurt     ";"BU05991290";"1";"      3077";1
"Pernis";"Rotterdam                               ";"Wijk      ";"WK059913  ";"1";"         .";
"Pernis";"Rotterdam                               ";"Buurt     ";"BU05991391";"1";"      3195";1
"Prins Alexander";"Rotterdam                               ";"Wijk      ";"WK059914  ";"1";"         .";
"'s Gravenland";"Rotterdam                               ";"Buurt     ";"BU05991444";"1";"      3065";1
"Kralingseveer";"Rotterdam                               ";"Buurt     ";"BU05991446";"1";"      3064";1
"Prinsenland";"Rotterdam                               ";"Buurt     ";"BU05991448";"1";"      3066";1
"Het Lage Land";"Rotterdam                               ";"Buurt     ";"BU05991449";"1";"      3067";1
"Ommoord";"Rotterdam                               ";"Buurt     ";"BU05991463";"1";"      3068";5
"Zevenkamp";"Rotterdam                               ";"Buurt     ";"BU05991466";"1";"      3068";5
"Oosterflank";"Rotterdam                               ";"Buurt     ";"BU05991467";"1";"      3067";1
"Nesselande";"Rotterdam                               ";"Buurt     ";"BU05991468";"1";"      3059";1
"Charlois";"Rotterdam                               ";"Wijk      ";"WK059915  ";"1";"         .";
"Charlois Zuidrand";"Rotterdam                               ";"Buurt     ";"BU05991570";"1";"      3084";1
"Tarwewijk";"Rotterdam                               ";"Buurt     ";"BU05991571";"1";"      3081";1
"Carnisse";"Rotterdam                               ";"Buurt     ";"BU05991572";"1";"      3083";1
"Zuidwijk";"Rotterdam                               ";"Buurt     ";"BU05991573";"1";"      3085";1
"Oud Charlois";"Rotterdam                               ";"Buurt     ";"BU05991574";"1";"      3082";2
"Wielewaal";"Rotterdam                               ";"Buurt     ";"BU05991575";"1";"      3084";1
"Zuidplein";"Rotterdam                               ";"Buurt     ";"BU05991576";"1";"      3083";1
"Pendrecht";"Rotterdam                               ";"Buurt     ";"BU05991577";"1";"      3086";1
"Zuiderpark";"Rotterdam                               ";"Buurt     ";"BU05991578";"1";"      3084";1
"Heijplaat";"Rotterdam                               ";"Buurt     ";"BU05991593";"1";"      3089";1
"Hoogvliet";"Rotterdam                               ";"Wijk      ";"WK059916  ";"1";"         .";
"Hoogvliet Noord";"Rotterdam                               ";"Buurt     ";"BU05991692";"1";"      3194";5
"Hoogvliet Zuid";"Rotterdam                               ";"Buurt     ";"BU05991699";"1";"      3192";4
"Hoek van Holland";"Rotterdam                               ";"Wijk      ";"WK059917  ";"1";"         .";
"Strand en Duin";"Rotterdam                               ";"Buurt     ";"BU05991701";"1";"      3151";1
"Dorp";"Rotterdam                               ";"Buurt     ";"BU05991702";"3";"      3151";1
"Rijnpoort";"Rotterdam                               ";"Buurt     ";"BU05991703";"3";"      3151";1
"Spaanse Polder";"Rotterdam                               ";"Wijk      ";"WK059918  ";"1";"         .";
"Spaanse Polder";"Rotterdam                               ";"Buurt     ";"BU05991853";"1";"      3044";1
"Nieuw Mathenesse";"Rotterdam                               ";"Wijk      ";"WK059919  ";"1";"         .";
"Nieuw Mathenesse";"Rotterdam                               ";"Buurt     ";"BU05991926";"1";"      3029";1
"Waalhaven-Eemhaven";"Rotterdam                               ";"Wijk      ";"WK059921  ";"1";"         .";
"Waalhaven";"Rotterdam                               ";"Buurt     ";"BU05992194";"1";"      3087";4
"Eemhaven";"Rotterdam                               ";"Buurt     ";"BU05992196";"1";"      3089";2
"Waalhaven Zuid";"Rotterdam                               ";"Buurt     ";"BU05992198";"1";"      3088";1
"Vondelingenplaat";"Rotterdam                               ";"Wijk      ";"WK059922  ";"1";"         .";
"Vondelingenplaat";"Rotterdam                               ";"Buurt     ";"BU05992295";"1";"      3196";1
"Botlek-Europoort-Maasvlakte";"Rotterdam                               ";"Wijk      ";"WK059923  ";"1";"         .";
"Botlek";"Rotterdam                               ";"Buurt     ";"BU05992306";"1";"      3197";1
"Europoort";"Rotterdam                               ";"Buurt     ";"BU05992307";"1";"      3198";1
"Maasvlakte";"Rotterdam                               ";"Buurt     ";"BU05992308";"1";"      3199";1
"Rotterdam-Noord-West";"Rotterdam                               ";"Wijk      ";"WK059924  ";"1";"         .";
"Bedrijvenpark Noord-West";"Rotterdam                               ";"Buurt     ";"BU05992459";"1";"      3047";1
"Rivium";"Rotterdam                               ";"Wijk      ";"WK059925  ";"1";"         .";
"Rivium";"Rotterdam                               ";"Buurt     ";"BU05992540";"1";"      3065";1
"Bedrijventerrein Schieveen";"Rotterdam                               ";"Wijk      ";"WK059926  ";"1";"         .";
"Bedrijventerrein Schieveen";"Rotterdam                               ";"Buurt     ";"BU05992650";"1";"      3046";1
"Rozenburg";"Rotterdam                               ";"Wijk      ";"WK059927  ";"1";"         .";
"Rozenburg";"Rotterdam                               ";"Buurt     ";"BU05992704";"1";"      3181";1
"Noordzeeweg";"Rotterdam                               ";"Buurt     ";"BU05992705";"1";"      3181";1
"Rozendaal";"Rozendaal                               ";"Gemeente  ";"GM0277    ";".";"         .";
"Wijk 00";"Rozendaal                               ";"Wijk      ";"WK027700  ";"1";"         .";
"Rozendaal";"Rozendaal                               ";"Buurt     ";"BU02770000";"1";"      6891";1
"Verspreide huizen Imbosch en Terlet";"Rozendaal                               ";"Buurt     ";"BU02770009";"1";"      6891";3
"Rucphen";"Rucphen                                 ";"Gemeente  ";"GM0840    ";".";"         .";
"Wijk 00 Rucphen";"Rucphen                                 ";"Wijk      ";"WK084000  ";"1";"         .";
"Rucphen";"Rucphen                                 ";"Buurt     ";"BU08400000";"1";"      4715";1
"Verspreide huizen Rucphen";"Rucphen                                 ";"Buurt     ";"BU08400009";"1";"      4715";1
"Wijk 01 Sint Willebrord";"Rucphen                                 ";"Wijk      ";"WK084001  ";"1";"         .";
"Sint Willebrord";"Rucphen                                 ";"Buurt     ";"BU08400100";"1";"      4711";1
"Verspreide huizen Sint Willebrord";"Rucphen                                 ";"Buurt     ";"BU08400109";"1";"      4711";1
"Wijk 02 Sprundel";"Rucphen                                 ";"Wijk      ";"WK084002  ";"1";"         .";
"Sprundel";"Rucphen                                 ";"Buurt     ";"BU08400200";"1";"      4714";1
"Bedrijventerrein De Nijverhei";"Rucphen                                 ";"Buurt     ";"BU08400201";"1";"      4714";5
"Verspreide huizen Sprundel";"Rucphen                                 ";"Buurt     ";"BU08400209";"1";"      4714";1
"Wijk 03 Schijf";"Rucphen                                 ";"Wijk      ";"WK084003  ";"1";"         .";
"Schijf";"Rucphen                                 ";"Buurt     ";"BU08400300";"1";"      4721";1
"Verspreide huizen Schijf";"Rucphen                                 ";"Buurt     ";"BU08400309";"1";"      4721";3
"Wijk 04 Zegge";"Rucphen                                 ";"Wijk      ";"WK084004  ";"1";"         .";
"Zegge";"Rucphen                                 ";"Buurt     ";"BU08400400";"1";"      4735";1
"Verspreide huizen Zegge";"Rucphen                                 ";"Buurt     ";"BU08400409";"1";"      4735";1
"Schagen";"Schagen                                 ";"Gemeente  ";"GM0441    ";".";"         .";
"Wijk 00";"Schagen                                 ";"Wijk      ";"WK044100  ";"1";"         .";
"Schagen";"Schagen                                 ";"Buurt     ";"BU04410000";"1";"      1741";1
"Nesdijk";"Schagen                                 ";"Buurt     ";"BU04410001";"1";"      1741";1
"Groeneweg";"Schagen                                 ";"Buurt     ";"BU04410002";"1";"      1741";1
"Waldervaart-Noord";"Schagen                                 ";"Buurt     ";"BU04410003";"1";"      1742";1
"Waldervaart-Zuid";"Schagen                                 ";"Buurt     ";"BU04410004";"1";"      1742";1
"Muggenburg";"Schagen                                 ";"Buurt     ";"BU04410005";"1";"      1742";1
"Verspreide huizen ten oosten van Schagen";"Schagen                                 ";"Buurt     ";"BU04410006";"1";"      1741";1
"Verspreide huizen ten zuiden van Schagen";"Schagen                                 ";"Buurt     ";"BU04410007";"1";"      1742";1
"Verspr.h. ten N. van het kanaal Stolpen";"Schagen                                 ";"Buurt     ";"BU04410008";"1";"      1741";1
"Verspreide huizen ten westen van Schagen";"Schagen                                 ";"Buurt     ";"BU04410009";"1";"      1742";1
"Wijk 01 Harenkarspel";"Schagen                                 ";"Wijk      ";"WK044101  ";"1";"         .";
"Tuitjenhorn en Kerkbuurt";"Schagen                                 ";"Buurt     ";"BU04410101";"1";"      1747";1
"Dirkshorn";"Schagen                                 ";"Buurt     ";"BU04410102";"1";"      1746";1
"Landelijk gebied Dirkshorn";"Schagen                                 ";"Buurt     ";"BU04410103";"1";"      1746";1
"Landelijk gebied Waarland";"Schagen                                 ";"Buurt     ";"BU04410104";"1";"      1738";1
"Waarland";"Schagen                                 ";"Buurt     ";"BU04410105";"1";"      1738";1
"Kalverdijk";"Schagen                                 ";"Buurt     ";"BU04410106";"1";"      1747";1
"Wijk 02 Sint Maarten";"Schagen                                 ";"Wijk      ";"WK044102  ";"1";"         .";
"Sint Maarten";"Schagen                                 ";"Buurt     ";"BU04410201";"1";"      1744";1
"Stroet";"Schagen                                 ";"Buurt     ";"BU04410202";"1";"      1744";1
"Valkkoog";"Schagen                                 ";"Buurt     ";"BU04410203";"1";"      1744";1
